Arabic
Arabs
Armal
Armenians
Assyrians
Biology
Chemestry
Civil ID
Divorced
Economy
English
English Family Name
English First Name
English Fourth Name
English Second Name
English Third Name
Family Number
French
Geography
Graduation
Graduation Province
History
ID Back
ID Face
ID Type
Islamics
Kurds
Main
Mandaeans
Mark
Married
Mathmatics
Mother First Name
Mother Second Name
Mother Third Name
Nationality
Nationality Arabic Name
Nationality Back
Nationality Face
Page Number
Parent Name
Parent Ocupation
Physics
Place of Birth
Ration Card
Relationship Status
Residence Card Back
Residence Card Face
Shabaks
Single
Sixth Grade Marks
Study Info 
Turkmen
Wallet Number
